title,genre,director,actor,synopsis,img
서양 골동 양과자점 앤티크,드라마,민규동,"주지훈, 김재욱, 유아인, 최지호",일본 인기 만화 ‘서양골동양과자점’(요시나가 후미 著)를 영화화하는 작품. 케이크숍 ‘앤티크’의 별나고 비밀스런 4남자 이야기.,./static/image_resized/11.jpg
내 생애 가장 아름다운 일주일,멜로/로맨스,민규동,"황정민, 엄정화, 김유정, 김윤석, 진태현, 임창정, 정경호, 최원석, 김수로, 이은희, 서영희, 우현, 주현","각기 다른 여섯 커플의 사랑을 일주일이라는 한정된 시간 안에서 '다중스토리 구조'라는 형식을 통해 보여주는 영화. 임창정은 '지하철에서 물건을 팔며 어렵게 생활하지만 밝고 긍정적인 캐릭터'인 창후 역으로, 엄정화는 깐깐하고 도도한 정신과 의사로 분해 단순무식 과격하지만 여자에겐 쑥맥인 노총각 형사와 팽팽하고 아슬아슬한 사랑 줄다리기를, 주현은 '20년째 단관 극장을 운영하며 지내는 고집불통 구두쇠' 곽회장 역할을, 김수로는 어린 꼬마 연인과의 매우 색다른 사랑을 선보인다.",./static/image_resized/12.jpg
연애소설,드라마,이한,"차태현, 최정우, 최성, 김성수, 손예진, 이은주","차태현의 슬픈 사랑 이야기
″바로 이게 사.랑.이.었.어.!″

어느 날, 지환(차태현 분)의 카메라 속으로 불쑥 수인(손예진 분)과 경희(이은주 분)가 들어온다. 닮은 듯 다른 두 사람, 수인과 경희는 둘도 없는 친구 사이. 수인에게 첫 눈에 반한 지환은 용기를 내서 마음을 고백하지만 아주 정중하게 거절당한다. 하지만 지환은 그녀들과의 인연을 놓칠 수 없어 친구가 되자고 제안한다. 그 사건을 계기로 그들 셋은 스무 살 나이보다 풋풋하고 아름다운 친구사이가 된다.

더없이 좋은 친구 사이로 그들 생애 최고의 날들을 보내는 지환, 경희, 수인. 그런데 어느 날부터인가 우정이 있어야할 자리에 낯선 감정들이 새록새록 피어오른다. 그들 사이에 미묘한 감정이 끼어 들면서, 세 사람은 각자 사랑과 우정 사이에서 혼란스러워한다. 혼란스러운 감정은 그들 스스로도 알아차리지 못하는 거리를 만들어버리고, 급기야 경희와 수인은 지환이 그냥 불편해졌다는 말만 남기고 사라져 버린다.

연락처도 주소도, 아무런 흔적도 남기지 않고 떠나버린 수인과 경희. 지환은 두 사람이 떠나버렸다는 사실을 쉽사리 받아들이지 못하고 힘들어한다. 그로부터 5년 후, 두 사람을 애써 잊었다고 생각하는 지환에게 발신인을 알 수 없는 사진이 배달된다. 발신인은 없지만 지환은 그 사진에서 경희와 수인을 느낀다. 오랜 설렘으로 그녀들을 찾아 나서는 지환. 여기서부터 세 사람의 찬란한 우정과 엇갈린 사랑의 이야기는 다시 시작되는데.",./static/image_resized/13.jpg
아가씨,"스릴러, 드라마",박찬욱,"김민희, 김태리, 하정우, 조진웅","어릴 적 부모를 잃고 후견인 이모부(조진웅)의 엄격한 보호 아래 살아가는 귀족 아가씨(김민희). 그녀에게 백작이 추천한 새로운 하녀가 찾아온다.
매일 이모부의 서재에서 책을 읽는 것이 일상의 전부인 외로운 아가씨는 순박해 보이는 하녀에게 조금씩 의지하기 시작한다. 하지만 하녀의 정체는 유명한 여도둑의 딸로, 장물아비 손에서 자란 소매치기 고아 소녀 숙희(김태리).
막대한 재산을 상속받게 될 아가씨를 유혹하여 돈을 가로채겠다는 사기꾼 백작(하정우)의 제안을 받고 아가씨가 백작을 사랑하게 만들기 위해 하녀가 된 것.
드디어 백작이 등장하고, 백작과 숙희는 자신만의 방식으로 아가씨의 마음을 흔들기 시작하는데…
돈과 마음을 뺏기 위해 서로 속고 속이는 매혹적인 그들의 이야기가 시작된다!",./static/image_resized/14.jpg
비밀은 없다,스릴러,이경미,"손예진, 김주혁","국회입성을 노리는 신예 정치인 ‘종찬’(김주혁)과 그의 아내 ‘연홍’(손예진) 선거를 보름 앞둔 어느 날, 그들의 딸이 실종된다.
갑작스럽게 사라진 딸의 행방을 찾기 위해 애를 쓰던 ‘연홍’은 딸의 실종에도 불구하고 선거에만 집중하는 ‘종찬’과 사건을 제대로 조사하지 않는 사람들에게 분노하고 누구도 믿을 수 없는 상황 속, 홀로 딸의 흔적을 쫓기 시작한다.
하지만 딸이 남긴 단서들을 집요하게 추적하던 ‘연홍’은 점차 드러나는 충격적 진실과 맞닥뜨리게 되는데..
유력한 후보, 사라진 딸, 15일간의 미스터리 선거 D-15, 딸이 사라졌다!",./static/image_resized/15.jpg
조제,"멜로/로맨스, 드라마",김종관,"한지민, 남주혁","자신을 ‘조제’로 불러달라는 그녀
처음 만난 그날부터
‘조제’는 ‘영석’에게 잊을 수 없는 이름으로 남는다.

할머니와 단둘이 사는 집, 그곳에서 책을 읽고 상상하며
자신만의 세계를 살고 있는 ‘조제’.
우연히 만난 그녀에게 특별한 감정을 느끼기 시작한 ‘영석’은
천천히, 그리고 솔직하게 다가가기 시작한다.
하지만 처음 경험해보는 사랑이 설레는 한편 가슴 아픈 ‘조제’는
자신에게 찾아온 낯선 감정을 밀어내는데…

기억할 거야
너와 함께한 모든 순간을",./static/image_resized/16.jpg
음란서생,"사극, 코미디",김대우,"한석규, 이범수, 김민정, 서명석","명망 높은 사대부 집안 자제이자 당대 최고의 문장가로 알려진 윤서(한석규)에게 권력은 쫓기에 허망한 것이요, 당파 싸움은 논하기에 그저 덧없는 것. 권태로운 양반 라이프를 살아가던 윤서는 반대파의 모략으로 골치 아픈 사건을 맡게 되고, 이 와중에 저잣거리 유기전에서 일생 처음 보는 난잡한 책을 접하게 되면서 알 수 없는 흥분을 느낀다. 윤서는 급기야 몸소 음란소설을 써 보는 용기를 발휘하게 되는데. 추월색이라는 필명으로 음란소설을 발표하던 윤서는, 1인자가 되고싶은 욕심에 고신 전문가로 악명을 떨치고 있는 가문의 숙적 광헌(이범수)에게 소설 속 삽화를 그려줄 것을 부탁한다. 광헌 역시 자신의 맥박수치를 끌어 올리는 제안을 차마 거절치 못하고 윤서와 나란히 음란 소설 창작에 빠져 든다. 아름답고 격조높은 문체가 박력 넘치는 그림을 만났으니, 금상첨화, 화룡점정이라! 양반의 점잖음을 잊은 두 사람의 완벽한 음란호흡은 최고의 작품을 탄생시키고, 양반 콤비의 작품은 장안 최고의 화제작으로 급부상하는데. 장안 아녀자들의 몸을 달아오르게 한 추월색의 흑곡비사에 대한 반응이 뜨거우면 뜨거울수록 윤서와 광헌의 심장은 힘차게 뛰고 피는 뜨겁게 돌기 시작한다. 그러나 인생에서 가장 흥분된 나날을 보내는 두 사람에게 엄청난 사건이 기다리고 있었으니...... 구중궁궐 속, 왕의 총애를 받는 아름다운 여인 정빈(김민정)의 손에까지 흑곡비사가 흘러 들어간 것. 장안 최고의 문제작을 쓴 윤서, 광헌의 운명은 과연 어떻게 전개될 것인가!",./static/image_resized/17.jpg
방법: 재차의,"미스터리, 스릴러",김용완,"엄지원, 정지소, 정문성, 김인권, 고규필, 권해효, 오윤아, 이설","되살아난 시체 '재차의'(在此矣)가 살인을 저질렀다!

살인사건 현장에서 피해자와 함께 용의자도 사체로 발견된다.
그러나 용의자의 시신은 이미 3개월 전 사망한 것으로 밝혀져 경찰은 혼란에 빠진다.

한편 미스터리를 추적하는 기자 임진희는 라디오 출연 중
자신이 바로 그 살인사건의 진범이며 생방송 인터뷰를 진행하고 싶다는 전화를 받게 된다.
경찰과 네티즌은 임진희 기자의 온라인 생방송을 일제히 주목하고
인터뷰 당일 그 곳에 나타난 범인은 되살아난 시체 '재차의'에 의한 3번의 살인을 예고하는데…

첫 번째 살인이 예고된 날,
엄청난 수의 ‘재차의’ 군단이 나타나 무차별 습격을 시작하고
총력 방어에 나선 경찰 당국은 속수무책으로 당하고 만다.
과연 이들을 조종하고 있는 배후는 누구일까?

올여름, 이들을 막아낼 유일한 ‘방법'(謗法)이 온다!",./static/image_resized/18.jpg
오! 문희,"코미디, 드라마",정세교,"나문희, 이희준, 김예은","평화로운 금산 마을.
불같은 성격에 가족 사랑도 뜨거운 ‘두원’(이희준)에게
하나뿐인 딸 ‘보미’가 뺑소니 사고를 당했다는 청천벽력 같은 소식이 전해진다.
게다가 현장의 유일한 목격자는
기억이 깜빡깜빡하는 엄니 ‘문희’(나문희)와 왈왈 짖기만 하는 개 ‘앵자’뿐.

의식 불명 상태로 병원에 있는 ‘보미’.
경찰 수사에 진전이 없자 ‘두원’의 속은 점점 타들어간다.
하지만 예기치 못한 순간 엄니 ‘문희’가 뜻밖의 단서를 기억해내고
‘두원’은 엄니와 함께 논두렁을 가르며 직접 뺑소니범을 찾아 나서기 시작하는데!

아무도 못 잡으면, 우리가 직접 잡는다!",./static/image_resized/19.jpg
나만 보이니,"공포(호러), 코미디",임용재,"정진운, 솔빈","감독 장근과 동료들은 영화 촬영을 위해 버려진 호텔을 찾는다.
분명 여기엔 우리 6명 말고 아무도 없댔는데 저기 저분은 누구?
갑자기 분위기가 싸해지고 귀신을 봤다는 스태프들이 속출하며
애절한 로맨스 영화는 점점 아찔한 호러 영화가 되어가는데!
우리… 이 영화 무사히 끝낼 수 있을까?",./static/image_resized/20.jpg
랑종,"공포(호러), 스릴러, 드라마",반종 피산다나쿤,"나릴야 군몽콘켓, 싸와니 우툼마, 씨라니 얀키띠칸, 야사카 차이쏜","태국 북동부 ‘이산’ 지역 낯선 시골 마을.
집 안, 숲, 산, 나무, 논밭까지,
이곳의 사람들은
모든 것에 혼이 깃들어 있다고 믿는다.

가문의 대를 이어 조상신 ‘바얀 신’을 모시는 랑종(무당) ‘님’은
조카 ‘밍’의 상태가 심상치 않음을 직감한다.
날이 갈수록 이상 증세가 점점 심각해지는 ‘밍’.
무당을 취재하기 위해 ‘님’과 동행했던 촬영팀은
신내림이 대물림되는 순간을 포착하기 위해
‘밍’과 ‘님’, 그리고 가족에게 벌어지는 미스터리한 현상을 카메라에 담기 시작한다.

신내림이 대물림되는 무당 가문
피에 관한 세 달간의 기록",./static/image_resized/21.jpg
담보,드라마,강대규,"성동일, 하지원, 김희원","빚 떼려다 혹 붙였다!
책임지고 받아(X) 키워 드립니다!

1993년 인천
거칠고 까칠한 사채업자 두석(성동일)과 종배(김희원)는
떼인 돈 받으러 갔다가 얼떨결에 9살 승이(박소이)를 담보로 맡게 된다.

“담보가 무슨 뜻이에요?”

뜻도 모른 채 담보가 된 승이와 승이 엄마의 사정으로 아이의 입양까지 책임지게 된 두석과 종배.
하지만 부잣집으로 간 줄 알았던 승이가 엉뚱한 곳에 있다는 것을 알게 된 두 사람은
승이를 데려와 돌보게 된다.

예고 없이 찾아온 아이에게 인생을 담보 잡힌 두석과 종배.
빚 때문에 아저씨들에게 맡겨진 담보 승이.
두석, 종배, 승이 세 사람은 어느덧 서로에게 특별한 존재가 되는데..

돈 받으러 갔다가 인생의 보물을 만났다!
올 가을, 담보가 보물이 됩니다!",./static/image_resized/22.jpg
정브르의 동물일기,다큐멘터리,박동훈,이정현,"90만 구독자를 보유한 생물 크리에이터 정브르!
생물 사육사 정브르가 이번에는 동물원의 사육사가 되어 동물들을 만난다.
코끼리의 X을 사랑한 사자들, 다산의 여왕으로 기네스에 오른 기린 '장순이', 동물 성대모사의 달인 앵무새 '랄라' 까지! 힘들고 난감한 순간들도 많지만, 동물들과 보내는 시간은 즐겁기만 하다.
동물원 사육사 체험으로 정브르는 교감을 나누는 경험을 통해 동물들과 진정한 친구가 되어 간다.",./static/image_resized/23.jpg
국가대표 2,드라마,김종현,"수애, 오달수, 오연서","유일무이 정통 아이스하키 선수 출신 에이스 ‘지원’
자존심은 금메달 급, 현실은 쇼트트랙 강제퇴출 ‘채경’
사는 게 심심한 아줌마, 빙판에선 열정의 프로 ‘영자’
시간외 수당이 목표, 아이스하키협회 경리 출신 ‘미란’
취집으로 인생 반전 꿈꾸는 전직 피겨요정 ‘가연’
주장 급 멘탈 보유자, 최연소 국가대표 꿈나무 ‘소현’
말만 번지르르, 주니어 아이스하키 우정상에 빛나는 국대 출신 감독 ‘대웅’

이들이 뭉친 단 하나의 이유는 아오모리 동계 아시안 게임 출전!

출신불문, 경험부족, 능력제로
한 팀이 되는 것 자체가 도전이었던 이들에게 다가온 차가운 현실은
그저 동계 올림픽 유치를 위한 병풍 취급뿐이다

뭉치면 싸우고 흩어지면 출전불가!
모두가 불가능하다고 믿었던 이들의 뜨거운 도전이 시작된다!",./static/image_resized/24.jpg
미씽: 사라진 여자,미스터리,이언희,"엄지원, 공효진","천사 같던 그녀의 새빨간 거짓말
그리고 거짓보다 더 무서운 진실
그녀를 찾아야만 한다.

이혼 후 육아와 생계를 혼자 책임져야 하는 워킹맘 지선은 헌신적으로 딸을 돌봐주는 보모 한매가 있어 늘 다행이라고 생각한다.

어느 날, 퇴근 후 집에 돌아온 지선은 보모 한매와 딸 다은이가 흔적도 없이 사라져 버린 것을 알게 된다. 지선은 뒤늦게 경찰과 가족에게 사실을 알리지만 아무도 그녀의 말을 믿지 않고, 오히려 양육권 소송 중 일으킨 자작극으로 의심한다.

결국 홀로 한매의 흔적을 추적하던 지선은 집 앞을 서성이는 정체불명의 남자와 주변 사람들의 이상한 증언들로 더욱 혼란에 빠지게 되고, 그녀의 실체에 가까워질수록 이름, 나이, 출신 등 모든 것이 거짓이었다는 충격적인 진실을 알게 되는데…

2016년 11월, 가슴 시린 추적이 시작된다.",./static/image_resized/25.jpg
동주,드라마,이준익,"강하늘, 박정민","이름도, 언어도, 꿈도 모든 것이 허락되지 않았던 일제 시대. 한 집에서 태어나고 자란 동갑내기 사촌지간 동주와 몽규. 시인을 꿈꾸는 청년 동주에게 신념을 위해 거침없이 행동하는 청년 몽규는 가장 가까운 벗이면서도, 넘기 힘든 산처럼 느껴진다. 창씨개명을 강요하는 혼란스러운 나라를 떠나 일본 유학 길에 오른 두 사람. 일본으로 건너간 뒤 몽규는 더욱 독립 운동에 매진하게 되고, 절망적인 순간에도 시를 쓰며 시대의 비극을 아파하던 동주와의 갈등은 점점 깊어진다. 암흑의 시대, 평생을 함께 한 친구이자 영원한 라이벌이었던 윤동주와 송몽규의 끝나지 않은 이야기가 지금 시작된다.",./static/image_resized/26.jpg
미쓰 와이프,코미디,강효진,"엄정화, 송승헌, 김상호, 라미란, 서신애","명품은? 필수! / 남자는? 백해무익! / 결혼은? 절대사절!
승소율 100% 잘 나가는 억대연봉 싱글 변호사 ‘이연우’
꿈에 그리던 뉴욕 본사 발령을 앞둔 어느 날, 연우(엄정화)는 갑작스러운 교통사고를 당한다.
생사의 위기에 놓인 연우 앞에 나타난 수상한 남자 ‘이소장’(김상호)
그는 한 달간 다른 사람의 인생을 살면 다시 원래의 삶으로 돌려 보내주겠다고 제안한다.
단, 조건은 누구도 그녀의 정체를 알아차려서는 안 된다는 것!

절약은? 필수! / 명품은? 백해무익! / 외식은? 절대사절!
동네에서 잘나가는 아줌마 ‘하늘 엄마’ 되다
제안을 수락한 후 눈을 뜬 그녀에게 찾아온 건 애 둘 딸린 아줌마로의 전쟁 같은 일상!
구청 공무원인 애처가 남편 ‘성환’(송승헌)과 “밥줘”와 “만원만”을 외치는 아이들,
동네 아줌마 부대와의 폭풍수다에 장당 350원 봉투 접기 알바까지,
청천벽력 같은 인생반전으로 패닉에 빠진 연우.
하지만 여전히 고급진 변호사의 속성(?)을 버릴 수 없는 연우는 돌발 행동을 이어가고,
남편 성환과 아이들은 영문도 모른 채 아내, 엄마의 변화에 당황하기 시작하는데…!

난 누구? 여긴 어디?
딱 한달, 다른 사람의 인생을 살게 된 그녀의 반전 라이프가 시작된다!",./static/image_resized/27.jpg
CCTV,공포(호러),김홍익,"곽도원, 김단미, 박기륭","일명 ‘CCTV 살인사건’.
10년 전. 8명이 죽고 1명이 행방불명이 된 전대미문의 살인극.
바로 이 끔찍한 살인사건의 유일한 생존자를 유튜버가 찾아간다.
유튜브 채널의 획기적인 조회수와 구독자 증가를 가져올 생존자와의
인터뷰가 시작되자...
10년 동안 숨겨졌던 끔찍한 사실이 드러나고,
아직도 끝나지 않았던 복수가 10년 만에 마무리 되는데...

죽음을 부르는 눈동자, CCTV의 공포가 드러난다.",./static/image_resized/28.jpg
파이프라인,범죄,유하,"서인국, 이수혁, 음문석, 유승목, 태항호, 배다빈","목표는 하나, 목적은 여섯!
화끈하게 뚫고, 완벽하게 빼돌려라!

손만 대면 대박을 터트리는 도유 업계 최고 천공기술자 ‘핀돌이’는
수천억의 기름을 빼돌리기 위해 거대한 판을 짠 대기업 후계자 ‘건우’의
거부할 수 없는 제안에 빠져 위험천만한 도유 작전에 합류한다.

프로 용접공 '접새', 땅 속을 장기판처럼 꿰고 있는 '나과장',
괴력의 인간 굴착기 '큰삽', 이 모든 이들을 감시하는 '카운터'까지!

그러나 저마다 다른 목적을 가진 이들이 서로를 속고 속이면서
계획은 예상치 못한 방향으로 흘러가기 시작하는데...

인생 역전을 꿈꾸는 여섯 명의 도유꾼들
그들의 막장 팀플레이가 시작된다!",./static/image_resized/29.jpg
